,student_id,class_id_x,chapter_number,book_x,EOC,n_possible,n_correct,n_attempt,book_y,release,institution_id,class_id_y,construct,response
0,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,1,College / Advanced Statistics and Data Science (ABCD),0.566666667,60,34,114,,,,,,
1,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,2,College / Advanced Statistics and Data Science (ABCD),0.673469388,49,33,91,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Cost,
2,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,2,College / Advanced Statistics and Data Science (ABCD),0.673469388,49,33,91,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Expectancy,
3,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,2,College / Advanced Statistics and Data Science (ABCD),0.673469388,49,33,91,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Intrinsic Value,
4,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,2,College / Advanced Statistics and Data Science (ABCD),0.673469388,49,33,91,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Utility Value,
5,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,3,College / Advanced Statistics and Data Science (ABCD),0.541666667,24,13,34,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Cost,
6,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,3,College / Advanced Statistics and Data Science (ABCD),0.541666667,24,13,34,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Expectancy,
7,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,3,College / Advanced Statistics and Data Science (ABCD),0.541666667,24,13,34,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Intrinsic Value,
8,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,3,College / Advanced Statistics and Data Science (ABCD),0.541666667,24,13,34,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Utility Value,
9,041a771b-41cc-4b36-928d-ec321f918db5,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,5,College / Advanced Statistics and Data Science (ABCD),0.549019608,51,28,81,College / Advanced Statistics and Data Science (ABCD),v5.0-exp2,292cff87-3c74-4e94-8622-233afb0427dd,6fbf5a0a-cf5d-4567-89b5-eb5c4a16c4ab,Cost,
